Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0603_1608Metric,152.4,-84.1375,90.0,bottom
C2,100nF,C_0603_1608Metric,152.4,-95.25,270.0,bottom
C3,100nF,C_0603_1608Metric,153.9875,-95.25,270.0,bottom
C4,100nF,C_0603_1608Metric,141.2875,-84.1375,90.0,bottom
C5,100nF,C_0603_1608Metric,142.875,-95.25,270.0,bottom
C6,10uF,C_0603_1608Metric,142.875,-84.1375,90.0,bottom
C7,100nF,C_0603_1608Metric,141.2875,-95.25,270.0,bottom
C8,1uF,C_0603_1608Metric,146.05,-66.675,180.0,bottom
C9,1uF,C_0603_1608Metric,146.05,-73.025,0.0,bottom
D1,D_Small,D_SOD-123F,40.48125,-42.06875,90.0,bottom
D10,D_Small,D_SOD-123F,211.93125,-42.06875,90.0,bottom
D11,D_Small,D_SOD-123F,230.98125,-42.06875,90.0,bottom
D12,D_Small,D_SOD-123F,250.03125,-42.06875,90.0,bottom
D13,D_Small,D_SOD-123F,269.08125,-42.06875,90.0,bottom
D14,D_Small,D_SOD-123F,40.48125,-61.11875,90.0,bottom
D15,D_Small,D_SOD-123F,59.53125,-61.11875,90.0,bottom
D16,D_Small,D_SOD-123F,78.58125,-61.11875,90.0,bottom
D17,D_Small,D_SOD-123F,97.63125,-61.11875,90.0,bottom
D18,D_Small,D_SOD-123F,116.68125,-61.11875,90.0,bottom
D19,D_Small,D_SOD-123F,135.73125,-61.11875,90.0,bottom
D2,D_Small,D_SOD-123F,59.53125,-42.06875,90.0,bottom
D20,D_Small,D_SOD-123F,154.78125,-61.11875,90.0,bottom
D21,D_Small,D_SOD-123F,173.83125,-61.11875,90.0,bottom
D22,D_Small,D_SOD-123F,192.88125,-61.11875,90.0,bottom
D23,D_Small,D_SOD-123F,211.93125,-61.11875,90.0,bottom
D24,D_Small,D_SOD-123F,230.98125,-61.11875,90.0,bottom
D25,D_Small,D_SOD-123F,250.03125,-61.11875,90.0,bottom
D26,D_Small,D_SOD-123F,269.08125,-61.11875,90.0,bottom
D27,D_Small,D_SOD-123F,45.24375,-80.16875,90.0,bottom
D28,D_Small,D_SOD-123F,69.05625,-80.16875,90.0,bottom
D29,D_Small,D_SOD-123F,88.10625,-80.16875,90.0,bottom
D3,D_Small,D_SOD-123F,78.58125,-42.06875,90.0,bottom
D30,D_Small,D_SOD-123F,107.15625,-80.16875,90.0,bottom
D31,D_Small,D_SOD-123F,126.20625,-80.16875,90.0,bottom
D32,D_Small,D_SOD-123F,145.25625,-80.16875,90.0,bottom
D33,D_Small,D_SOD-123F,164.30625,-80.16875,90.0,bottom
D34,D_Small,D_SOD-123F,183.35625,-80.16875,90.0,bottom
D35,D_Small,D_SOD-123F,202.40625,-80.16875,90.0,bottom
D36,D_Small,D_SOD-123F,221.45625,-80.16875,90.0,bottom
D37,D_Small,D_SOD-123F,240.50625,-80.16875,90.0,bottom
D38,D_Small,D_SOD-123F,264.31875,-80.16875,90.0,bottom
D39,D_Small,D_SOD-123F,41.275,-99.21875,90.0,bottom
D4,D_Small,D_SOD-123F,97.63125,-42.06875,90.0,bottom
D40,D_Small,D_SOD-123F,59.53125,-99.21875,90.0,bottom
D41,D_Small,D_SOD-123F,250.03125,-99.21875,90.0,bottom
D42,D_Small,D_SOD-123F,269.875,-99.21875,90.0,bottom
D43,D_Small,D_SOD-123F,84.1375,-103.98125,90.0,bottom
D44,D_Small,D_SOD-123F,109.5375,-103.98125,90.0,bottom
D45,D_Small,D_SOD-123F,138.1125,-103.98125,90.0,bottom
D46,D_Small,D_SOD-123F,183.35625,-103.98125,90.0,bottom
D47,D_Small,D_SOD-123F,200.025,-103.98125,90.0,bottom
D48,D_Small,D_SOD-123F,227.0125,-103.98125,90.0,bottom
D5,D_Small,D_SOD-123F,116.68125,-42.06875,90.0,bottom
D6,D_Small,D_SOD-123F,135.73125,-42.06875,90.0,bottom
D7,D_Small,D_SOD-123F,154.78125,-42.06875,90.0,bottom
D8,D_Small,D_SOD-123F,173.83125,-42.06875,90.0,bottom
D9,D_Small,D_SOD-123F,192.88125,-42.06875,90.0,bottom
J4,Pico EZmate,Molex_Pico-EZmate_78171-0004_1x04-1MP_P1.20mm_Vertical,155.575,-68.2625,270.0,bottom
R1,10k,R_0603_1608Metric,140.49375,-68.2625,90.0,bottom
SW3,SKQGABE010,SW_SPST_SKQG_WithoutStem,134.9375,-68.2625,0.0,bottom
U2,XC6206PxxxMR-Regulator_Linear,SOT-23,146.05,-69.85,90.0,bottom
U3,STM32F072C8Tx,LQFP-48_7x7mm_P0.5mm,147.6375,-89.69375,90.0,bottom
